,state,year,mrall,beertax,jaild,comserd,vmiles,unrate,perinc
1,1,1987,2.71858996711671,1.55999994277954,no,no,9.1663017578125,7.80000019073486,11944
2,1,1988,2.49391014222056,1.50144362449646,no,no,9.6743232421875,7.19999980926514,12368.6240234375
3,4,1987,2.76728009339422,0.360000014305115,yes,yes,9.370654296875,6.19999980926514,14241
4,4,1988,2.70565011305735,0.346487015485764,yes,yes,9.815720703125,6.30000019073486,14408.0849609375
5,5,1987,2.67588009592146,0.545000016689301,no,no,7.66583056640625,8.10000038146973,11537
6,5,1988,2.54696991760284,0.52454286813736,no,no,8.02462548828125,7.69999980926514,11760.3466796875
7,6,1987,1.98965994059108,0.0900000035762787,no,no,8.18063330078125,5.80000019073486,17846
8,6,1988,1.90364997251891,0.0866217538714409,no,no,8.531990234375,5.30000019073486,18049.0859375
9,8,1987,1.79308000952005,0.180000007152557,no,yes,8.18202783203125,7.69999980926514,15605
10,8,1988,1.50559993926436,0.173243507742882,no,yes,8.3807685546875,6.40000009536743,15845.04296875
11,9,1987,1.39832001877949,0.225690007209778,yes,yes,8.3385341796875,3.29999995231628,21192
12,9,1988,1.49706000229344,0.217218488454819,yes,yes,8.0612353515625,3,22193.455078125
13,10,1987,2.2670799808111,0.144999995827675,no,no,9.4503076171875,3.20000004768372,16407
14,10,1988,2.4242399376817,0.139557257294655,no,no,9.7030205078125,3.20000004768372,16998.07421875
15,12,1987,2.36131003475748,1.08000004291534,no,yes,7.78833056640625,5.30000019073486,15584
16,12,1988,2.4953400134109,1.03946101665497,no,yes,8.53823046875,5,15979.7880859375
17,13,1987,2.56991013884544,2.27999997138977,no,no,9.69028125,5.5,14306
18,13,1988,2.60642991634086,2.19441771507263,no,no,9.8173955078125,5.80000019073486,14687.19921875
19,16,1987,2.6252499083057,0.337500005960464,no,no,8.1352685546875,8,11859
20,16,1988,2.56230996455997,0.324831575155258,no,no,8.10268212890625,5.80000019073486,12189.60546875
21,17,1987,1.43326004035771,0.158000007271767,no,no,6.54084619140625,7.40000009536743,16417
22,17,1988,1.58170994836837,0.152069300413132,no,no,6.75761279296875,6.80000019073486,16915.302734375
23,18,1987,1.90742997801863,0.259052991867065,no,no,7.9772158203125,6.40000009536743,13937
24,18,1988,1.98163994355127,0.249329149723053,no,no,9.201576171875,5.30000019073486,14363.8115234375
25,19,1987,1.73253007233143,0.427500009536743,no,no,7.34225732421875,5.5,14284
26,19,1988,1.96541994228028,0.484926879405975,no,no,7.7300634765625,4.5,14111.6455078125
27,20,1987,1.98303998331539,0.405600011348724,yes,yes,8.304130859375,4.90000009536743,15152
28,20,1988,1.93586995010264,0.390375375747681,yes,yes,8.48135546875,4.80000019073486,15167.46875
29,21,1987,2.26456002565101,0.180999994277954,no,no,8.135244140625,8.80000019073486,12008
30,21,1988,2.2484599321615,0.174205958843231,no,no,8.482435546875,7.90000009536743,12340.7119140625
31,22,1987,1.85383993084542,0.726000010967255,yes,yes,6.85920751953125,12,11515
32,22,1988,2.09845995414071,0.698748826980591,yes,yes,7.86797705078125,10.8999996185303,11830.6064453125
33,23,1987,1.95450993487611,0.787500023841858,yes,no,9.0699365234375,4.40000009536743,13984
34,23,1988,2.11617996683344,0.757940351963043,yes,no,9.4613994140625,3.79999995231628,14538.9794921875
35,24,1987,1.79492999450304,0.202000007033348,no,no,8.04697509765625,4.19999980926514,18167
36,24,1988,1.69191000168212,0.194417715072632,no,no,8.11294580078125,4.5,18755.533203125
37,25,1987,1.17677001981065,0.239999994635582,no,no,7.22543603515625,3.20000004768372,19050
38,25,1988,1.23111007269472,0.230991333723068,no,no,7.35847265625,3.29999995231628,20034.6484375
39,26,1987,1.73587002791464,0.457257986068726,no,no,8.2289150390625,8.19999980926514,15418
40,26,1988,1.84415999683551,0.440094321966171,no,no,8.430646484375,7.59999990463257,15930.7021484375
41,27,1987,1.24822996440344,0.316249996423721,no,no,8.282359375,5.40000009536743,15910
42,27,1988,1.42093995236792,0.320981711149216,no,no,8.4622548828125,4,16048.123046875
43,28,1987,2.88000010186806,0.960300028324127,no,no,7.6849521484375,10.1999998092651,10303
44,28,1988,2.75572994723916,0.92425411939621,no,no,8.413373046875,8.39999961853027,10698.7490234375
45,29,1987,2.04586001927964,0.290461003780365,no,no,8.500705078125,6.30000019073486,14648
46,29,1988,2.14550003875047,0.27955824136734,no,no,8.864046875,5.69999980926514,14871.9921875
47,30,1987,2.8924600337632,0.32379999756813,yes,no,9.9802236328125,7.40000009536743,12291
48,30,1988,2.45962990447879,0.322910487651825,yes,no,10.1093271484375,6.80000019073486,12383.060546875
49,31,1987,1.86324003152549,0.466874986886978,no,no,8.212685546875,4.90000009536743,14300
50,31,1988,1.6292100190185,0.498075067996979,no,no,8.368896484375,3.59999990463257,14219.44140625
51,32,1987,2.60178989265114,0.202500000596046,yes,yes,8.33764453125,6.30000019073486,16412
52,32,1988,2.71347002126276,0.194898948073387,yes,yes,8.528455078125,5.19999980926514,16853.705078125
53,33,1987,1.6934699669946,0.675000011920929,no,no,8.6726474609375,2.5,17906
54,33,1988,1.52994995005429,0.649663150310516,no,no,8.7621884765625,2.40000009536743,18704.5234375
55,34,1987,1.33341993205249,0.0750000029802322,no,no,7.4388671875,4,20313
56,34,1988,1.36122005642392,0.072184793651104,no,no,7.5988720703125,3.79999995231628,21168.431640625
57,35,1987,3.78666998585686,0.405000001192093,no,no,10.0773427734375,8.89999961853027,11898
58,35,1988,3.23159008985385,0.389797896146774,no,no,10.141353515625,7.80000019073486,12019.2490234375
59,36,1987,1.30884000100195,0.123759999871254,no,no,5.49802587890625,4.90000009536743,18005
60,36,1988,1.2591399718076,0.11911453306675,no,no,5.789921875,4.19999980926514,18580.365234375
61,37,1987,2.46998009970412,1.20000004768372,no,no,8.5139462890625,4.5,13325
62,37,1988,2.42409994825721,1.15495669841766,no,no,8.92941015625,3.59999990463257,13767.083984375
63,38,1987,1.50298001244664,0.360000014305115,no,no,8.453890625,5.19999980926514,12971
64,38,1988,1.55921996338293,0.346487015485764,no,no,8.64317578125,4.80000019073486,12351.2998046875
65,39,1987,1.64318000315689,0.360000014305115,no,no,7.340248046875,7,14598
66,39,1988,1.62413998623379,0.346487015485764,no,no,7.5532177734375,6,14952.8388671875
67,40,1987,1.82457006303594,0.907500028610229,no,no,9.6595244140625,7.40000009536743,12607
68,40,1988,1.95557993720286,0.873436033725739,no,no,9.9901142578125,6.69999980926514,12822.90625
69,41,1987,2.27605996769853,0.188710004091263,yes,yes,8.565328125,6.19999980926514,14019
70,41,1988,2.44669005041942,0.181626573204994,yes,yes,9.1087705078125,5.80000019073486,14326.275390625
71,42,1987,1.66470999829471,0.239999994635582,no,no,6.5872919921875,5.69999980926514,15200
72,42,1988,1.60903000505641,0.230991333723068,no,no,6.76925830078125,5.09999990463257,15623.6767578125
73,44,1987,1.14604001282714,0.145999997854233,no,no,6.0882109375,3.79999995231628,15633
74,44,1988,1.25880993437022,0.140519723296165,no,no,5.89425146484375,3.09999990463257,16257.9404296875
75,45,1987,3.17080004606396,1.72800004482269,yes,yes,8.824517578125,5.59999990463257,12027
76,45,1988,2.97983002383262,1.66313767433167,yes,yes,9.152458984375,4.5,12440.80859375
77,46,1987,1.88998994417489,0.609252989292145,no,no,8.7574228515625,4.19999980926514,12545
78,46,1988,2.06170996534638,0.593364775180817,no,no,9.3043427734375,3.90000009536743,12276.2275390625
79,47,1987,2.57055013207719,0.283322989940643,yes,no,8.6768427734375,6.59999990463257,12876
80,47,1988,2.58630985626951,0.272688150405884,yes,no,9.0281826171875,5.80000019073486,13352.26171875
81,48,1987,1.94234002265148,0.435600012540817,no,no,9.0050478515625,8.39999961853027,13889
82,48,1988,2.01472998014651,0.419249296188354,no,no,9.290322265625,7.30000019073486,14038.4990234375
83,49,1987,1.76190005731769,0.798386991024017,yes,yes,7.54700341796875,6.40000009536743,11389
84,49,1988,1.75740002305247,0.768418669700623,yes,yes,7.84794482421875,4.90000009536743,11735.322265625
85,50,1987,2.17153006815352,0.596249997615814,no,no,9.195244140625,3.59999990463257,14325
86,50,1988,2.3159799457062,0.573869109153748,no,no,9.969486328125,2.79999995231628,14727.623046875
87,51,1987,1.72934000147507,0.635999977588654,no,no,9.287623046875,4.19999980926514,16486
88,51,1988,1.78054993739352,0.612127006053925,no,no,9.5516279296875,3.90000009536743,17011.548828125
89,53,1987,1.71881998539902,0.201919004321098,yes,no,8.488326171875,7.59999990463257,15630
90,53,1988,1.67384001542814,0.194339752197266,yes,no,8.995921875,6.19999980926514,15854.66796875
91,54,1987,2.4828698951751,0.399192988872528,yes,no,7.244076171875,10.8000001907349,10992
92,54,1988,2.45203002123162,0.384208858013153,yes,no,7.4008662109375,9.89999961853027,11294.513671875
93,55,1987,1.65799996466376,0.144999995827675,no,no,8.361978515625,6.09999990463257,14720
94,55,1988,1.66219993843697,0.139557257294655,no,no,8.7451904296875,4.30000019073486,14941.2900390625
95,56,1987,2.63265013927594,0.0450000017881393,yes,no,10.9530498046875,8.60000038146973,12719
96,56,1988,3.23590997140855,0.0433108769357204,yes,no,11.812115234375,6.30000019073486,13098.1708984375